No.,Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,Magnitude and Filter,Separation,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,Associations
1278,WISEA J021919.03+011420.5,34.82889,1.23948,*,1349066,4.5,PHOT,23.2g,0,1,0,17,3,1,4,0
1279,SDSS J021942.61-001136.9,34.92756,-0.1936,*,1351114,4.506832,SPEC,24.6g,0,9,0,5,6,5,4,0
1280,WISEA J022020.99-005946.8,35.08741,-0.99633,G,1274118,4.25,PHOT,22.5g,0,1,0,27,3,1,4,0
1281,WISEA J022027.90+000636.9,35.11626,0.11026,QSO,1270852,4.239104,SPEC,,0,5,0,12,3,3,0,0
1282,[YWF2017] J035.11644+01.11794,35.11645,1.11795,QSO,1214160,4.05,PHOT,,0,1,0,0,1,1,0,0
1283,SHELLQs J0220-0432,35.12383,-4.53444,QSO,1768776,5.9,SPEC,,0,1,0,0,1,1,0,0
1284,WISEA J022043.84-010124.9,35.18278,-1.0237,*,1214160,4.05,PHOT,21.3g,0,2,0,21,4,1,4,0
1285,WISEA J022055.58+473319.1,35.23163,47.55537,QSO,1445000,4.82,SPEC,,0,1,0,12,2,1,0,0
1286,SDSS J022057.37+004535.1,35.23906,0.75977,*,1244139,4.15,PHOT,23.1g,0,1,0,5,2,1,4,0
1287,CFHTLS J022112.31-034231.6,35.30126,-3.70877,VisS,1504958,5.02,SPEC,,0,5,0,14,5,4,0,0
1288,WISEA J022112.61-034252.2,35.30254,-3.71449,VisS,1502323,5.011211,SPEC,,0,10,0,26,10,8,0,0
1289,SDSS J022112.72-002536.7,35.30302,-0.42687,G,1229149,4.1,PHOT,22.8g,0,1,0,15,2,1,3,0
1290,SDSS J022117.56-003004.4,35.32317,-0.50125,G,1274118,4.25,PHOT,22.9g,0,1,0,15,2,1,4,0
1291,CFHQS J022122-080251,35.34463,-8.04764,QSO,1847022,6.161,1LIN,22.0J,0,9,0,3,6,7,0,0
1292,SDSS J022226.30-000509.9,35.6096,-0.08609,G,1267523,4.228,PHOT,23.2g,0,2,0,15,2,2,4,0
1293,SDSS J022246.15+000212.9,35.69231,0.03693,G,1259128,4.2,PHOT,22.2g,0,1,0,15,2,1,4,0
1294,SDSS J022310.81+005202.8,35.79508,0.86746,G,1206279,4.023712,SPEC,22.1g,0,1,0,15,4,3,4,0
1295,SDSS J022316.02+005822.4,35.81677,0.97291,*,1321847,4.409207,SPEC,24.1g,0,9,0,5,4,4,4,0
1296,WISEA J022335.80-003206.3,35.89918,-0.53523,*,1244139,4.15,PHOT,23.2g,0,3,0,17,3,2,4,0
1297,SDSS J022429.71-002602.0,36.12381,-0.43391,G,1229149,4.1,PHOT,23.4g,0,2,0,15,2,2,4,0
1298,SDSS J022447.25+001012.3,36.19691,0.17011,G,1244139,4.15,PHOT,23.2g,0,2,0,15,2,2,4,0
1299,SDSS J022503.81-011146.1,36.26588,-1.19616,*,1274118,4.25,PHOT,22.4g,0,1,0,5,2,1,4,0
1300,RCS 01130100705,36.37029,0.39164,G,1349066,4.5,PHOT,23.4R,0,2,0,6,3,2,0,0
1301,SDSS J022539.34-003132.4,36.41392,-0.52569,*,1329889,4.436032,SPEC,21.9g,0,2,0,5,3,2,4,0
1302,SDSS J022542.71+002258.7,36.42798,0.383,G,1199170,4,PHOT,21.49,0,3,0,24,3,2,4,0
1303,WISEA J022601.86+030258.8,36.50783,3.04983,QSO,1960943,6.541,1LIN,,0,17,0,12,8,7,0,0
1304,LQAC 036+000 084,36.52741,0.29492,G,1199734,4.00188,,21.1,0,6,1,5,1,1,0,0
1305,WISEA J022612.04+002156.6,36.55008,0.36593,G,1384785,4.619145,SPEC,22.2g,0,11,0,37,9,6,4,0
1306,RCS 01130301433,36.55033,0.36542,G,1401680,4.6755,,25.31,0,7,1,9,1,2,0,0
1307,[YWF2017] J036.58639-00.63335,36.58639,-0.63335,QSO,1244139,4.15,PHOT,,0,1,0,0,1,1,0,0
1308,CFHTLS J022629.06-043704.5,36.62117,-4.61788,*,1453994,4.85,SPEC,24.5R,0,3,0,4,3,1,0,0
1309,WISEA J022652.03+004148.4,36.71678,0.69656,G,1274118,4.25,PHOT,20.6,0,2,0,35,4,1,4,1
1310,WISEA J022655.59-040652.4,36.73161,-4.11447,QSO,1747084,5.827643,SPEC,21.6V,0,17,0,64,9,6,0,0
1311,HSCS J022739-041216,36.91648,-4.20454,*,1355062,4.52,SPEC,23.4R,0,3,0,0,3,1,0,0
1312,CFHQS J022743-060530,36.93037,-6.09172,QSO,1858714,6.2,SPEC,22.7z,0,15,1,3,9,8,0,0
1313,SDSS J022827.89-050240.7,37.11624,-5.04459,XrayS,1443813,4.816042,SPEC,,0,6,0,0,4,4,0,0
